"(0, 4, 7, -7.0)",{1: 0.1}
"(0, 4, 7, -6.0)",{1: -0.4}
"(7, 3, 15, -5.0)","{0: 0.1, 1: 0.1}"
"(6, 3, 15, -7.0)","{1: 0.30951000000000006, 0: 0.19}"
"(6, 3, 15, -6.0)","{1: 0.09, 0: 0.19}"
"(6, 3, 15, -5.0)",{0: 0.19}
"(5, 3, 14, -8.0)","{0: 0.6558134171671001, 1: 0.23414410000000005}"
"(5, 3, 14, 0.0)","{0: 0.0, 1: 0.19}"
"(5, 3, 13, 0.0)","{0: 0.1, 1: 0.469435411}"
"(5, 3, 13, -8.0)","{0: 0.297559, 1: 0.0729}"
"(5, 3, 13, 1.0)","{1: 0.46855900000000006, 0: 0.1}"
"(5, 3, 12, 2.0)","{1: 0.1, 0: 0.1}"
"(5, 3, 12, 3.0)",{1: 0.19}
"(5, 3, 12, 4.0)",{1: 0.19}
"(5, 3, 12, 5.0)",{0: 0.0}
"(5, 3, 11, 0.0)","{0: 0.181, 1: 0.19}"
"(5, 3, 11, 1.0)","{1: 0.1, 0: 0.1}"
"(5, 3, 11, 2.0)",{1: 0.19}
"(5, 3, 10, 3.0)",{0: 0.1}
"(5, 3, 10, -8.0)","{1: 0.17099999999999999, 0: 0.1}"
"(4, 3, 10, -7.0)",{0: 0.181}
"(4, 3, 10, -8.0)","{0: 0.224046721, 1: 0.0}"
"(4, 3, 9, 0.0)","{1: 0.271, 0: 0.0}"
"(4, 3, 9, 1.0)","{1: 0.34390000000000004, 0: 0.09}"
"(4, 3, 9, 2.0)","{1: 0.1, 0: 0.19}"
"(4, 3, 9, 3.0)",{0: 0.1}
"(4, 3, 9, -8.0)","{0: 0.2539, 1: 0.0}"
"(4, 3, 8, 0.0)",{0: 0.19}
"(4, 3, 8, -8.0)","{0: 0.1, 1: 0.1}"
"(4, 3, 7, 0.0)",{1: 0.1}
"(4, 3, 7, 1.0)",{0: 0.1}
"(3, 3, 7, -8.0)","{1: 0.1629, 0: 0.31951}"
"(3, 3, 6, 0.0)",{0: 0.1}
"(3, 3, 6, -8.0)",{1: 0.34390000000000004}
"(2, 3, 6, -7.0)","{0: 0.1, 1: 0.19}"
"(2, 3, 5, 0.0)",{1: 0.19}
"(2, 3, 5, 1.0)",{1: 0.09}
"(2, 3, 5, 2.0)","{0: 0.1, 1: 0.1}"
"(2, 3, 5, -8.0)","{1: 0.34390000000000004, 0: 0.271}"
"(1, 3, 4, -8.0)","{0: 0.221949, 1: 0.2539}"
"(1, 3, 4, 0.0)","{0: 0.19, 1: 0.0}"
"(1, 3, 4, -7.0)",{0: 0.19}
"(7, 5, 15, 0.0)","{0: 0.41048379, 1: 0.34390000000000004}"
"(7, 5, 15, -8.0)","{1: 0.7027666961671, 0: 0.28291480718329004}"
"(6, 5, 15, -8.0)","{1: 0.34052684401, 0: 0.31061845990000003}"
"(6, 5, 14, 0.0)","{1: 0.06561, 0: 0.19}"
"(6, 5, 14, 1.0)","{0: 0.181, 1: 0.19}"
"(6, 5, 14, -8.0)","{0: 0.23661000000000001, 1: 0.6125795110000001}"
"(5, 5, 14, -8.0)","{1: 0.678162146905351, 0: 0.295659}"
"(5, 5, 13, -8.0)","{1: 0.24661, 0: 0.250090821}"
"(5, 5, 13, -7.0)","{0: 0.09, 1: 0.1}"
"(5, 5, 13, 0.0)","{0: 0.1, 1: 0.181}"
"(4, 5, 12, -8.0)","{0: 0.45343250789229, 1: 0.23851}"
"(4, 5, 12, 0.0)","{0: 0.09, 1: 0.34390000000000004}"
"(4, 5, 11, 0.0)","{0: 0.1, 1: 0.181}"
"(4, 5, 11, -8.0)","{0: 0.181, 1: 0.5217031000000001}"
"(4, 5, 11, 1.0)","{0: 0.1, 1: 0.19}"
"(3, 5, 11, -8.0)","{1: 0.6513215599000001, 0: 0.271}"
"(3, 5, 10, -8.0)","{1: 0.34390000000000004, 0: 0.181}"
"(3, 5, 10, -7.0)","{1: 0.1, 0: 0.19}"
"(3, 5, 10, -6.0)","{1: 0.19, 0: 0.1}"
"(3, 5, 10, -5.0)",{1: 0.1}
"(2, 5, 10, -4.0)",{0: 0.19}
"(2, 5, 9, -8.0)","{1: 0.224659, 0: 0.297559}"
"(2, 5, 9, 0.0)","{1: 0.0729, 0: 0.0}"
"(2, 5, 9, 1.0)","{0: 0.271, 1: 0.1}"
"(2, 5, 8, -8.0)","{0: 0.33004900000000004, 1: 0.0}"
"(2, 5, 8, 0.0)","{1: 0.09, 0: 0.1}"
"(2, 5, 8, 1.0)","{0: 0.1, 1: 0.1}"
"(1, 5, 8, -8.0)","{1: 0.5217031000000001, 0: 0.34390000000000004}"
"(1, 5, 7, -8.0)","{0: 0.17099999999999999, 1: 0.271}"
"(1, 5, 7, 0.0)","{0: 0.1, 1: 0.1}"
"(0, 5, 7, -8.0)","{1: 0.31123307545039003, 0: 0.06453279000000002}"
"(0, 5, 6, -7.0)","{0: 0.09, 1: 0.09}"
"(0, 5, 6, -8.0)","{1: -0.23710000000000003, 0: 0.014058999999999988}"
"(0, 5, 6, -6.0)","{1: -0.4, 0: 0.0}"
"(7, 1, 15, -5.0)",{1: 0.1}
"(7, 1, 15, -13.0)",{0: 0.1}
"(6, 1, 14, -6.0)",{0: 0.19}
"(6, 1, 14, -8.0)","{0: 0.40096094401000004, 1: 0.5711127108022901}"
